likes,engagement,comments_ratio,followers,following,hour,time_of_day_bin,weekend,caption_length,hashtag,tag,location,video,multiple_images
0,0,0.030303030303030304,33,0,15,Afternoon (12–4pm),0,53,0,0,0,0,0
668,0.00244465670505656,1.756639548543636e-4,273249,474,10,Morning (5–11am),0,365,1,1,1,0,1
2727,0.001751125677782601,2.889646332974589e-5,1557284,597,16,Afternoon (12–4pm),1,208,1,0,1,1,0
44962,0.0036467113536556533,8.321528955230418e-5,12329465,1,13,Afternoon (12–4pm),0,96,1,0,1,0,0
1949,0.017544807223167428,1.710371150539667e-4,111087,17,23,Night (9pm–4am),0,59,1,0,1,0,0
1268,0.002357276044832862,1.728916972945238e-4,537909,3517,15,Afternoon (12–4pm),0,38,0,0,0,1,0
264,0.015924719507781397,0.0012064181445288937,16578,7298,9,Morning (5–11am),0,85,1,0,0,0,1
12131,0.02115854870948725,4.6569388388699164e-4,573338,119,21,Night (9pm–4am),0,200,1,1,0,1,0
13381,0.011972142244904168,2.6841362181236458e-5,1117678,186,12,Afternoon (12–4pm),1,85,1,1,1,1,0
143,9.273550278206509e-4,5.188000155640005e-5,154202,1867,10,Morning (5–11am),0,78,0,1,1,0,0
4787,0.029708008812486423,4.406243212213361e-4,161135,89,0,Night (9pm–4am),0,212,0,1,0,0,1
345927,0.04634118732153706,2.407303090443998e-4,7464785,266,12,Afternoon (12–4pm),0,549,1,1,0,1,0
6106,0.009686205643888378,4.045172681283224e-4,630381,959,17,Evening (5–8pm),0,195,1,0,0,1,0
3647,0.003535638009611274,6.883199854192499e-5,1031497,1813,22,Night (9pm–4am),1,167,0,1,0,1,0
858,0.0032635238450244575,1.0269830281545495e-4,262906,3145,8,Morning (5–11am),0,798,1,0,0,1,0
5924,0.0033634820328512947,3.009192230606324e-5,1761270,1166,21,Night (9pm–4am),0,195,1,1,1,0,1
217,0.0024533080088635644,4.5222267444489665e-5,88452,2070,9,Morning (5–11am),0,48,0,0,0,0,1
1033,0.0023035617122621733,2.2299726159362765e-6,448436,230,8,Morning (5–11am),1,125,0,0,0,0,1
76,0.05617147080561715,0.0014781966001478197,1353,845,19,Evening (5–8pm),1,104,1,0,1,0,1
4085,0.013277644152636027,6.825716700253526e-5,307660,4873,2,Night (9pm–4am),0,338,0,1,0,0,1
342,9.78498776876529e-5,7.4388795902894014e-6,3495150,184,18,Evening (5–8pm),0,480,0,1,0,1,0
1430,0.004459830339321357,4.0855788423153693e-4,320640,1545,19,Evening (5–8pm),1,313,0,1,0,0,1
161,5.988135309541963e-4,1.4877354806315437e-5,268865,374,9,Morning (5–11am),0,737,1,1,1,0,1
9654,0.0014514163411980033,9.170954714426995e-6,6651434,88,14,Afternoon (12–4pm),0,118,1,1,0,0,0
5353,0.01237805202342881,3.237301108313158e-4,432459,1727,6,Morning (5–11am),0,285,0,0,0,0,1
10906,0.015541944438902458,2.0806197396660179e-4,701714,898,13,Afternoon (12–4pm),0,459,1,1,1,0,1
31,0.012296707655692185,0,2521,18,1,Night (9pm–4am),0,22,0,0,0,0,0
291,0.0014209470050245859,1.464893819612975e-5,204793,2319,13,Afternoon (12–4pm),1,252,0,1,1,1,0
729,6.224300214477944e-4,1.9637709867351538e-5,1171216,134,14,Afternoon (12–4pm),1,91,1,0,0,1,0
318,8.247230175525955e-4,2.852815469521557e-5,385584,87,15,Afternoon (12–4pm),1,571,1,1,0,1,0
321,0.04067410035478966,0.0010136847440446021,7892,1007,11,Morning (5–11am),1,665,1,1,1,0,0
10479,0.0018596834332180385,6.0161531048851515e-5,5634830,111,0,Night (9pm–4am),0,72,0,1,0,1,0
20288,0.10978176761199764,9.144873189288053e-4,184803,129,7,Morning (5–11am),1,14,0,0,1,0,0
70,3.7631373813939734e-4,1.0751821089697067e-5,186015,1630,20,Evening (5–8pm),0,215,1,0,1,1,0
10834,0.015705682981209428,2.3919491341144135e-4,689814,463,20,Evening (5–8pm),0,19,0,0,1,0,0
116892,0.18291440616036542,0.0011563986085661128,639053,344,18,Evening (5–8pm),0,36,0,0,0,1,0
222,0.0025100061054202562,1.5828867331479094e-4,88446,346,19,Evening (5–8pm),0,232,1,0,0,0,1
11170,0.014040353761608117,1.1941214031806366e-4,795564,288,11,Morning (5–11am),1,115,1,1,0,0,0
1549,0.0015551490593807915,4.2166727239505e-5,996046,1163,17,Evening (5–8pm),0,221,1,1,1,0,1
538,0.0021625271823235512,1.20587017601685e-5,248783,79,19,Evening (5–8pm),0,382,1,1,0,0,0
80652,0.20848390849166343,0.0014294946361638877,386850,707,18,Evening (5–8pm),1,205,1,1,0,1,0
1006,0.007063614660862238,1.3340822918129477e-4,142420,1001,19,Evening (5–8pm),0,56,0,1,1,0,0
7627,0.002880711283006183,1.9262655753679733e-5,2647610,815,1,Night (9pm–4am),1,1240,1,1,0,1,0
4508,0.016993045215522928,2.4124997644043198e-4,265285,62,17,Evening (5–8pm),1,55,1,0,0,0,0
10099,0.025347177776606507,2.4345739621059817e-4,398427,690,12,Afternoon (12–4pm),1,51,1,0,1,0,0
883,0.0011364060483056225,6.563613642535305e-5,777011,918,22,Night (9pm–4am),0,214,1,1,1,1,0
7096,0.0015262831070185579,6.022537626341547e-6,4649203,48,4,Night (9pm–4am),0,295,1,1,0,1,0
26526,0.04002818844002336,5.507912531330969e-4,662683,759,4,Night (9pm–4am),0,2148,0,0,1,0,0
20550,0.00604430430939779,4.058948879303625e-5,3399895,966,11,Morning (5–11am),1,293,1,1,0,1,0
5551,0.005365322291459462,1.2951777824816573e-4,1034607,1300,21,Night (9pm–4am),0,260,1,0,0,1,0
5226,0.024142136482066635,3.326126725428239e-4,216468,1913,20,Evening (5–8pm),0,941,1,0,0,1,0
574,0.005966053777634574,3.1181465736766067e-5,96211,202,3,Night (9pm–4am),0,77,1,1,1,0,0
1133,0.0016044840585374696,6.231006052572697e-5,706146,370,0,Night (9pm–4am),0,272,0,0,0,0,1
9284,0.008565713526520129,7.473317488670081e-5,1083856,463,16,Afternoon (12–4pm),0,30,0,0,0,0,1
5054,0.002602686112141062,1.802414205083838e-5,1941840,959,15,Afternoon (12–4pm),0,149,1,1,0,0,0
20629,0.012438460402113978,6.934039198425069e-5,1658485,2955,23,Night (9pm–4am),0,782,0,1,1,0,1
941,8.788084813890591e-4,1.587645503040808e-5,1070768,630,20,Evening (5–8pm),1,927,0,0,0,1,0
1055,0.002007161094178662,1.3317656549052734e-5,525618,338,10,Morning (5–11am),0,798,0,0,0,1,0
17999,0.02314543340946032,8.358537538835051e-5,777648,508,13,Afternoon (12–4pm),1,16,0,0,0,0,1
653,0.0011391548273648367,2.2155078572026684e-4,573232,486,19,Evening (5–8pm),1,77,1,1,0,1,0
9880,0.0020405448833130516,3.3664859917006825e-5,4841844,1015,19,Evening (5–8pm),1,258,0,0,0,0,0
1640,0.0022347678089873094,3.542924575223784e-5,733857,2511,7,Morning (5–11am),1,902,1,1,0,0,0
13789,9.836260397749009e-4,1.868953676271115e-5,14018539,804,20,Evening (5–8pm),1,283,0,0,0,1,0
437,0.0024867977783847766,5.1215514886642996e-5,175728,604,10,Morning (5–11am),0,144,1,0,1,0,0
118,0.005769606884412282,5.378447095638569e-4,20452,4069,10,Morning (5–11am),0,271,1,1,1,0,1
10,0.14084507042253522,0.014084507042253521,71,75,4,Night (9pm–4am),0,70,1,1,0,0,0
80,3.8700626466390924e-4,4.837578308298866e-6,206715,566,15,Afternoon (12–4pm),0,211,1,1,0,0,0
439,0.0010948695758440346,1.4714648058040557e-4,400961,1000,18,Evening (5–8pm),1,97,0,0,1,0,1
1734,0.006398642041366077,4.428125980184136e-4,270995,2836,19,Evening (5–8pm),0,12,0,0,0,0,0
1249,0.0014251824838340489,2.2821176682690936e-5,876379,43,6,Morning (5–11am),0,107,1,1,0,1,0
523,0.0034211180449258867,7.84960163271714e-5,152874,339,14,Afternoon (12–4pm),1,1095,0,0,0,0,1
15352,0.013942611151727614,1.1988175299817907e-4,1101085,357,17,Evening (5–8pm),1,489,1,1,1,0,1
1366,0.010720956880719544,7.063587988761046e-5,127414,194,8,Morning (5–11am),1,49,1,0,0,0,0
1223,0.006270122839037795,5.126837971412751e-6,195052,1,11,Morning (5–11am),1,6,1,0,0,0,0
1182,0.009611866019370106,9.758239613573712e-5,122973,825,18,Evening (5–8pm),0,577,0,0,1,0,1
1377,0.00333753453875612,7.271317077900043e-5,412580,39,11,Morning (5–11am),0,89,1,1,1,0,1
172,0.0019523490618508722,9.08069331093429e-5,88099,832,23,Night (9pm–4am),0,141,0,0,1,1,0
31079,0.02525427764185064,4.712983375357435e-5,1230643,0,17,Evening (5–8pm),0,440,1,0,1,0,0
861,0.003096910642797794,4.3162517669655673e-4,278019,877,23,Night (9pm–4am),0,69,0,0,0,0,1
1010,0.004121120128611591,2.5705996841834673e-4,245079,300,15,Afternoon (12–4pm),0,2015,0,1,1,0,0
5196,0.0027754052941016227,3.418513064328404e-5,1872159,327,9,Morning (5–11am),1,18,0,0,0,1,0
1063,0.003358047467564673,8.845280253227738e-5,316553,347,16,Afternoon (12–4pm),0,374,1,0,0,1,0
716,0.0011828747490934322,3.304119410875509e-6,605305,605,11,Morning (5–11am),0,636,0,1,1,0,0
508651,1.5640934179978783,0.008656078473578204,325205,700,18,Evening (5–8pm),0,230,1,1,0,1,0
4442,0.002372953247692621,4.1134038737580326e-5,1871929,816,17,Evening (5–8pm),0,461,1,0,1,0,1
2221,0.0025264733685136124,4.6639085145906397e-5,879091,505,12,Afternoon (12–4pm),0,268,1,1,0,1,0
3362,0.008343011425111423,1.6130152963481333e-4,402972,2135,17,Evening (5–8pm),0,185,0,1,0,1,0
9315,0.012692222794496357,3.733407456459476e-4,733914,672,7,Morning (5–11am),0,335,1,0,1,0,1
438,0.0016113071085130726,0,271829,46,17,Evening (5–8pm),0,1,0,0,0,0,0
797,0.00399076665782055,1.5021706365698434e-5,199711,2,17,Evening (5–8pm),0,124,1,1,0,0,0
4150,0.013466724211223136,3.2449937858369e-6,308167,74,2,Night (9pm–4am),0,288,1,1,0,0,0
966,0.003974343677872451,8.228454819611699e-6,243059,65,3,Night (9pm–4am),1,250,1,1,0,0,0
101772,0.17514826300807831,4.285256994950625e-4,581062,457,17,Evening (5–8pm),0,279,1,1,1,0,1
61137,0.02106601179878594,9.99254693826639e-5,2902163,481,17,Evening (5–8pm),1,52,1,1,0,1,0
2301,0.012479458518410048,2.277867265420348e-4,184383,411,19,Evening (5–8pm),1,2143,0,1,0,0,1
1215,0.06753752084491384,0.005669816564758199,17990,785,2,Night (9pm–4am),0,309,1,1,1,0,0
